entry_id,mode,setup,base_lang,phrase_lang,n_phrases,quality_tier,audio_s,mWER,eWER,MER,mWER_unit,eWER_unit,matrix_units,embedded_units,LA_segment_per_wav,LID_conf_per_wav,SIM_whole,SIM_matrix,SIM_embedded_per_wav,success
syncs_K_to_E_99,moss_tts_v15,K_to_E,ko,en,5,S,46.0,0.38922155688622756,0.05714285714285714,0.33582196697774586,CER,WER,167,32,0.8,0.798954838514328,0.9873020052909851,0.9866448044776917,0.9471138000488282,True
syncs_J_to_E_3,moss_tts_v15,J_to_E,ja,en,4,S,35.84,0.8421052631578947,0.07142857142857142,0.6989795918367347,CER,WER,114,26,0.5,0.21757552679628134,0.9504557251930237,0.9496142864227295,0.9538696557283401,True
syncs_J_to_E_7,moss_tts_v15,J_to_E,ja,en,5,S,48.32,0.859504132231405,0.10357142857142856,0.6861692447679709,CER,WER,121,36,0.6,0.2563061751425266,0.9772467613220215,0.9757032990455627,0.9465692043304443,True
syncs_J_to_E_11,moss_tts_v15,J_to_E,ja,en,4,S,40.8,0.7142857142857143,0.1,0.6147887323943662,CER,WER,119,23,0.5,0.16419976577162743,0.9783873558044434,0.9759157299995422,0.9649660438299179,True
syncs_J_to_E_15,moss_tts_v15,J_to_E,ja,en,4,S,31.6,0.6309523809523809,0.0,0.4732142857142857,CER,WER,84,28,0.25,0.3371837018057704,0.9651919603347778,0.96857088804245,0.9655386656522751,True
syncs_J_to_E_19,moss_tts_v15,J_to_E,ja,en,3,S,37.12,0.2066115702479339,0.0,0.176056338028169,CER,WER,121,21,1.0,0.38159553706645966,0.9586119055747986,0.9640268683433533,0.9249565402666727,True
syncs_J_to_E_23,moss_tts_v15,J_to_E,ja,en,3,S,41.36,0.6721311475409836,0.0,0.5774647887323944,CER,WER,122,20,0.6666666666666666,0.1039902592698733,0.9627478122711182,0.9602241516113281,0.9684309562047323,True
syncs_J_to_E_27,moss_tts_v15,J_to_E,ja,en,4,S,32.64,0.19148936170212766,0.03571428571428571,0.15380184331797236,CER,WER,94,30,0.75,0.21108965668827295,0.9523930549621582,0.940885603427887,0.9713968932628632,True
syncs_J_to_E_31,moss_tts_v15,J_to_E,ja,en,3,S,33.12,0.5363636363636364,0.13333333333333333,0.4717557251908397,CER,WER,110,21,0.6666666666666666,0.19789138933022818,0.9767733812332153,0.9730185866355896,0.9723376035690308,True
syncs_J_to_E_35,moss_tts_v15,J_to_E,ja,en,4,S,33.68,0.31868131868131866,0.041666666666666664,0.26474926253687314,CER,WER,91,22,0.5,0.44198279827833176,0.9711860418319702,0.9756038784980774,0.9650623351335526,True
