setup,en_iou_mean,en_recall_mean,en_precision_mean,en_f1_mean,ko_iou_mean,ko_recall_mean,ko_precision_mean,ko_f1_mean
layers_set_8-9-12-13__max__a2t,0.2913,0.4045,0.5083,0.4513,0.4097,0.4627,0.6402,0.5813
layers_set_7-8-9-12-13__mean__a2t,0.2794,0.3789,0.5158,0.4413,0.3948,0.4374,0.6505,0.5705
layers_set_7-8-9-12-13__max__a2t,0.2901,0.4026,0.5093,0.4502,0.4081,0.4602,0.6417,0.5808
layers_set_8-12__mean__a2t_vnorm,0.2951,0.4077,0.5171,0.4546,0.4136,0.4653,0.6449,0.5843
layers_set_8-12__max__a2t_vnorm,0.2931,0.4086,0.5089,0.4519,0.4136,0.4699,0.6390,0.5840
layers_set_8-13__mean__a2t_vnorm,0.2855,0.3954,0.5110,0.4450,0.4088,0.4610,0.6406,0.5816
layers_set_8-13__max__a2t_vnorm,0.2879,0.4020,0.5045,0.4469,0.4121,0.4685,0.6377,0.5828
layers_set_9-12__mean__a2t_vnorm,0.2824,0.3859,0.5177,0.4418,0.4052,0.4495,0.6493,0.5794
layers_set_9-12__max__a2t_vnorm,0.2912,0.4022,0.5146,0.4486,0.4130,0.4637,0.6425,0.5841
layers_set_12-13__mean__a2t_vnorm,0.2765,0.3809,0.5120,0.4346,0.4079,0.4558,0.6422,0.5819
layers_set_12-13__max__a2t_vnorm,0.2879,0.3985,0.5128,0.4449,0.4120,0.4626,0.6393,0.5838
layers_8-13__mean__a2t_vnorm,0.2820,0.3864,0.5170,0.4418,0.4059,0.4525,0.6471,0.5794
layers_8-13__max__a2t_vnorm,0.2917,0.4056,0.5108,0.4502,0.4117,0.4651,0.6398,0.5824
layers_set_7-8-9-12-13__mean__a2t_vnorm,0.2850,0.3928,0.5162,0.4441,0.4073,0.4554,0.6459,0.5806
layers_set_7-8-9-12-13__max__a2t_vnorm,0.2913,0.4054,0.5107,0.4499,0.4114,0.4651,0.6395,0.5822
layers_set_8-12__mean__a2t_vnormfx,0.2943,0.4059,0.5180,0.4545,0.4125,0.4637,0.6454,0.5839
layers_set_8-12__max__a2t_vnormfx,0.2931,0.4078,0.5100,0.4523,0.4135,0.4689,0.6400,0.5841
layers_set_8-13__mean__a2t_vnormfx,0.2848,0.3949,0.5111,0.4445,0.4093,0.4615,0.6408,0.5821
layers_set_8-13__max__a2t_vnormfx,0.2871,0.4010,0.5048,0.4461,0.4121,0.4683,0.6378,0.5832
layers_set_9-12__mean__a2t_vnormfx,0.2782,0.3784,0.5174,0.4390,0.4013,0.4443,0.6499,0.5770
layers_set_9-12__max__a2t_vnormfx,0.2894,0.3973,0.5166,0.4472,0.4110,0.4597,0.6444,0.5830
layers_set_12-13__mean__a2t_vnormfx,0.2728,0.3750,0.5111,0.4317,0.4064,0.4537,0.6427,0.5813
layers_set_12-13__max__a2t_vnormfx,0.2862,0.3954,0.5132,0.4435,0.4123,0.4622,0.6406,0.5844
layers_8-13__mean__a2t_vnormfx,0.2796,0.3826,0.5166,0.4399,0.4040,0.4500,0.6480,0.5781
layers_8-13__max__a2t_vnormfx,0.2910,0.4047,0.5106,0.4497,0.4111,0.4644,0.6405,0.5824
layers_set_7-8-9-12-13__mean__a2t_vnormfx,0.2829,0.3896,0.5163,0.4425,0.4058,0.4536,0.6463,0.5796
layers_set_7-8-9-12-13__max__a2t_vnormfx,0.2903,0.4038,0.5110,0.4492,0.4109,0.4641,0.6406,0.5823
